"","GSM335197.CEL","GSM335198.CEL","GSM335199.CEL","ent_gene","symbol_limma"
"203585_at",6.06071832758399,5.7167383211856,5.90680977097064,"7739","ZNF185"
"213452_at",4.57962348967049,4.6818454735962,4.4537528554091,"7738","ZNF184"
"209565_at",6.69736031289745,6.92858967463548,6.77454224176091,"7737","RNF113A"
"219495_s_at",4.76640800372403,4.79847696965521,4.61230844584789,"7733","ZNF180"
"214933_at",6.33422387708475,7.8617280561612,7.1729846128259,"773","CACNA1A"
"205497_at",6.24239085456683,6.24865422443345,6.17544157086067,"7728","ZNF175"
"210290_at",4.46530637687225,4.32446807380391,4.32551816023321,"7727","ZNF174"
"202702_at",7.43027284767614,7.06211558843077,7.18135667805124,"7726","TRIM26"
"202172_at",9.66948552792537,8.54081270768491,8.59239444295527,"7716","VEZF1"
"215867_x_at",6.50595570854715,6.69684912230835,6.57105112346755,"771","CA12"
"203602_s_at",6.1252406266061,5.96214974640157,5.99272639852824,"7709","ZBTB17"
"203319_s_at",7.31952550689737,7.05319167159145,7.01770654929545,"7707","ZNF148"
"200050_at",8.12545769597293,7.3714913737041,7.28066228781697,"7705","ZNF146"
"205883_at",6.40318814784788,6.88605517795354,7.18486576656656,"7704","ZBTB16"
"203793_x_at",5.91109677413003,6.20807704735061,6.15172657968949,"7703","PCGF2"
"221873_at",5.67019359304567,5.53255816351401,5.48555417077726,"7702","ZNF143"
"209726_at",6.39039085180854,7.69284315863378,7.43778254046614,"770","CA11"
"204523_at",4.7892823928213,4.44357536167391,4.43277991993622,"7699","ZNF140"
"207394_at",4.51955653861885,4.44180046359372,4.19782004419831,"7696","ZNF137P"
