"","GSM2417003","GSM2417004","GSM2417005","GSM2417006","GSM2417007","GSM2417009","GSM2417011","GSM2417015","GSM2417016","ent_gene","symbol_limma"
"11730073_at",8.55999535420835,8.472412673297,5.29600692929782,8.37461816830786,7.77274957313126,8.35893070794602,9.31155571842279,8.3024712721419,9.35490959787117,"5067","CNTN3"
"11740278_s_at",9.41519415655603,9.75841923748574,9.45987121013344,10.2389329708262,9.90563940354171,10.1655529562765,10.5057336981123,9.6653467749117,10.343955704212,"5066","PAM"
"11726886_at",6.59183836389934,6.75627425199735,6.28049686177135,7.26354882228808,6.27869713331173,6.60430813861194,7.02237805354645,6.24136040537418,7.35595158902065,"50651","SLC45A1"
"11720860_s_at",9.02699537810618,8.42878230499027,8.33388406417089,9.15415078265894,7.59440245025665,8.56851054598935,9.21559170587286,7.7977878567625,8.94665248740973,"50650","ARHGEF3"
"11725181_a_at",9.32842596334736,9.74795513393829,8.72245221049704,10.2089014939173,8.74076079858659,9.70985739155554,9.43117285839032,8.8702812634305,9.86971479117763,"50649","ARHGEF4"
"11738628_a_at",9.45417584405167,8.8194494607804,8.45668455111552,8.87283334605675,9.22473112221972,9.35035669324473,9.40965917014746,8.60407145286734,8.94968616951412,"50640","PNPLA8"
"11717713_a_at",8.68502081287149,9.11295749831584,8.11976929540918,9.32811749660337,7.88679916405518,8.93978623574622,9.03148104877331,7.90755212861922,9.60934971204141,"5064","PALM"
"11734464_a_at",4.00736292036029,4.09940793337824,3.99653718612733,4.36063398827051,3.80663088788194,3.7816249216903,4.01703391522654,4.06768300827361,4.00614468709076,"50636","ANO7"
"11723320_at",8.67358204759155,8.71094504446058,6.40206960619354,9.38670616957382,7.11157347287433,8.42744346829832,8.94865619564579,5.55997169654613,8.9130976324588,"50632","CALY"
"11732741_a_at",10.5989094557607,10.1039620218093,7.77500959554067,10.6041267810482,8.69234836216731,9.96830378327836,10.524150624045,6.96402330126344,10.5990023302698,"5063","PAK3"
"11733935_a_at",5.82644564178204,5.81728125717318,5.83567065832674,6.122208904756,6.51947384723604,6.24375192053002,5.95317508168489,6.44685840499785,5.96366786771842,"50628","GEMIN4"
"11741622_s_at",5.82054394379928,5.93402245635775,5.85238702354312,5.92178229843496,6.28760537741207,5.6792238304511,5.98895638475274,6.14522565691922,5.93978456530304,"50626","CYHR1"
"11729790_a_at",3.58775798811274,3.76829175145897,3.09320959906066,3.93617367986866,4.19199375749875,3.56950381504159,3.48250703297129,3.55043329950239,3.99716209197698,"50624","CUZD1"
"11739268_s_at",7.31844575268398,8.07722028934551,9.22948029053521,7.73088314216204,8.67811080473806,7.94464251279883,7.70215975641813,8.78389385262284,7.29147807159332,"5062","PAK2"
"11733389_a_at",3.20727122000037,4.07359338797544,6.20328496432563,3.52160919035593,3.70502307008444,3.82518510023066,3.52223093677953,3.855345312924,3.93617367986866,"50619","DEF6"
"11763275_x_at",8.87897357003578,8.79974819272381,8.69527765262309,9.31524364853731,8.01737411126786,8.54300698957722,8.89072133533936,8.0517787327483,8.62170547918458,"50618","ITSN2"
"11728159_a_at",3.2573801167174,3.07510285009839,2.90589866818832,3.08228754496735,3.07356825385346,3.54996181188698,3.23195413398929,3.08105697488913,3.41422030350858,"50617","ATP6V0A4"
"11733737_at",3.78855764245711,3.53996360146209,3.76720803219857,3.5091628848818,3.32401730223841,3.29016407133943,3.32401730223841,3.55522802728719,3.53977069464634,"50616","IL22"
"11739740_a_at",3.96331555682391,3.70432621655187,5.71919616891303,3.8661364256892,3.59048782444286,3.63768771400685,3.47946768395211,3.56718675900755,3.70667394129357,"50615","IL21R"
"11738158_a_at",7.82204151694006,7.81636520658422,6.03122650463587,8.42501030030374,6.5269110383915,7.66115273873963,7.72915063611106,6.36351724707905,7.72839495323054,"50614","GALNT9"
"11730874_at",2.71986659603498,3.29998204996513,2.99015401108555,3.05878896086838,2.82992259821564,3.04014500179394,2.84628861398978,3.49026283825456,3.22413239823724,"50613","UBQLN3"
"11724190_s_at",11.1833504364084,10.7605354543691,10.1840709346735,11.1496471906915,10.6743901145921,11.3210073041069,11.4443877315544,10.624751175905,11.1558759570893,"506","ATP5B"
"11720103_a_at",9.64368138054486,9.6079547209623,7.84301635875467,10.1579271196503,7.9317516365394,9.28524622890164,10.2511556335377,5.98129401326934,10.1527370256343,"5058","PAK1"
"11757312_x_at",3.5765557593466,6.41786633651403,6.1615839060739,4.58574001573922,5.29345778802503,3.1606945509779,6.04577744077713,4.89764609426446,6.34378369937921,"5054","SERPINE1"
"11762826_at",4.83172197226449,4.83010178490387,4.7254107162395,4.59286384849405,4.25810331182109,4.43828305620836,4.62999796036874,4.72121943376556,4.4683198509308,"5053","PAH"
"11742924_a_at",10.6407234999441,10.851185336667,11.3418972927622,10.680078912551,11.2553523113117,11.3929851397951,10.9103380074218,11.5527492778364,10.7658741140863,"5052","PRDX1"
"11743434_a_at",3.903558150896,4.52759455304893,5.93078731206506,4.0393170277184,4.87453856757312,5.18532519068975,4.67449497708975,4.33640459920973,5.2347578844293,"50515","CHST11"
"11743825_a_at",5.25605509523114,5.78084291625378,5.48611125370847,6.53294814452335,5.61770812891007,5.52521603400167,5.55176549226997,5.64251774851551,5.74307780080496,"50512","PODXL2"
"11727758_a_at",3.70267815887006,3.29642147573118,3.34527985203952,3.46835008423742,3.1655148882345,3.30339415683502,3.48912379162216,3.39242613458514,3.27922049161749,"50511","SYCP3"
"11724638_at",5.0354035650884,5.15178308406143,6.05182318555017,5.45511068436461,6.00603586023669,5.41208946837774,5.04629728131039,6.14124372983861,4.83263368125099,"5051","PAFAH2"
"11721742_at",5.98261360945714,6.20106553568924,5.68116194332125,6.61683543153837,5.3274187543526,6.34602639933497,5.85875641844073,5.85794298125381,6.23471530611879,"50509","COL5A3"
"11740475_x_at",2.87932069485604,2.93601546802147,3.59456194685469,2.72347159126523,3.4310076102801,2.83936008021489,2.12378989204636,3.37738249915641,2.51093951500143,"50507","NOX4"
"11730214_at",3.53526776090446,3.4023932143205,3.2733655941157,3.17070300897421,2.8253183081312,3.0533355444031,3.1616087563283,3.06664642018738,3.27483829160608,"50506","DUOX2"
"11718303_a_at",7.90599551430748,7.081121883509,7.34578827246083,7.2324248045647,8.00946120703876,7.77571310858821,7.71038762509906,7.8088121764966,7.50502072541755,"5050","PAFAH1B3"
"11763575_s_at",10.1361964917295,9.8613674267972,9.93237283883611,10.086929045455,9.77026782393089,9.50212431406767,9.75263111951948,9.79488798124869,9.52516419376481,"5049","PAFAH1B2"
"11731903_at",3.237632901977,3.53036021350993,3.23225493248782,3.20357938786905,2.84935837872822,3.16929643766459,3.38064708910618,3.38650853120149,3.25877512617303,"50489","CD207"
"11720873_a_at",6.53527980962936,6.87831042513288,6.84522227046924,6.74636337300141,6.38676625835467,6.47422237470763,6.61124241433832,6.4859786136713,6.73027976463624,"50488","MINK1"
