"","GSM317711.CEL","GSM317712.CEL","GSM317713.CEL","GSM317714.CEL","GSM317715.CEL","GSM317716.CEL","GSM317717.CEL","GSM317718.CEL","GSM317719.CEL","GSM317720.CEL","GSM317721.CEL","GSM317722.CEL","ent_gene","symbol_limma"
"38336_at",8.69851350137441,8.01177704422692,9.35987349694796,8.09447706303008,8.50926549336248,9.04489838396843,8.347484388485,7.57591136650412,7.99306964567382,8.47192485061426,8.24322806422447,8.5764213215029,"23150","FRMD4B"
"31889_at",8.47456952835084,7.97092238727918,8.17774596237007,8.37065689127466,8.03317348198778,9.18321649549415,7.97044666307036,8.2088942850083,8.40615481352729,8.19560299660226,8.04166870720751,8.02324704734314,"2315","MLANA"
"41054_at",9.00637443668698,9.03387245209796,9.00787981748319,9.02972008558988,8.95788324459313,9.1366422325299,8.75749774901386,8.95297533151491,9.37235010999444,9.3894012204593,9.25941891414314,9.31146213594329,"23149","FCHO1"
"41055_at",9.13116998551324,9.68131433059699,10.9504239498815,9.85820278383289,10.1580349682564,9.65485671677802,9.79321720331168,10.200450762552,10.9647487580992,11.2872624577243,10.7859967206924,10.8673867758832,"23148","NACAD"
"41078_at",9.96222604469076,10.2743763872098,10.0694029455306,9.96326826589226,10.1306128690336,10.2630143560176,10.0079825737883,9.97061694980382,10.0339661000514,10.1314631993845,10.2570882456402,10.2688560437763,"23144","ZC3H3"
"35039_at",9.23869348596106,9.89418932853106,9.19420033903792,9.02156768861613,9.84551078650009,8.32042968766728,9.62217697514341,9.30971200179938,9.68830232318325,9.67254042248045,9.54646406568676,9.38486917669151,"23142","DCUN1D4"
"39519_at",8.16470048217328,8.54155814696302,8.21275857790265,8.42453352874271,7.99023193275785,7.82620236949831,8.50010507350577,8.25204806468306,8.02856869482209,8.04763736046615,8.20494435584612,8.09652012872989,"23141","ANKLE2"
"38626_at",8.75422998309108,8.64831650213776,8.52104833063724,8.93025898744013,8.30256543526139,8.71593221704601,8.81058687250222,8.52411101870725,8.69655786620334,8.54134913093516,8.24071688970865,8.23481113313074,"23140","ZZEF1"
"33133_at",10.1859046861237,10.0393016545342,10.4563933394671,10.60844149228,9.99357765454897,9.48860262775041,10.2984972146276,9.68272449228368,9.60343055323671,9.34940427296659,9.39590305337203,9.49875102320841,"2314","FLII"
"41379_at",10.3747379383641,9.26676662770199,9.50960971697976,9.72615529568252,10.736303467382,8.89758814415834,9.21491542702294,9.06051672718587,7.90145475805775,8.43911205459071,8.39827600059195,8.87102273691574,"23137","SMC5"
"41385_at",10.837455665475,8.89693458126311,11.5737213680029,10.7100481647161,10.0962606003759,9.42255012864298,10.500207212929,11.6889487832648,11.7815193056862,11.9739466765228,11.8709062978361,11.7286971936289,"23136","EPB41L3"
"41386_i_at",10.9636859052115,11.4491604099003,11.0526670350884,11.2537927686023,11.1680310338966,11.2804527242165,11.2105878235815,10.8662781408022,10.8432257749844,10.637878827351,10.7747521993804,11.1274679479454,"23135","KDM6B"
"41399_at",8.63216415843243,9.21584631071425,8.89952365496738,8.84281890315567,8.65999178871334,8.06335300632473,8.69973355333525,8.13732727169941,8.01448577567325,7.92434999206189,7.87469661734848,7.95719577706107,"23133","PHF8"
"38668_at",7.14303804336117,7.6235407092229,7.29634599412269,7.37739822954223,7.4034088617399,7.00120369335415,7.36563766573753,7.21476830545029,7.31423964588183,7.32507790964301,7.27956139710385,7.21103456382803,"23131","GPATCH8"
"37146_at",9.81756504735222,9.82949579315027,9.6975487693178,9.87869796687743,9.9310245661019,10.046969703163,9.82794459708411,9.8701672378958,10.1167244893784,9.76463392012884,9.88804343693557,9.78507634133014,"23130","ATG2A"
"41425_at",6.80487427583154,6.7276981990513,7.06398678269234,6.71389421333348,7.28988588436866,6.28242091152014,7.30229253114321,6.5138386457662,6.69214500134287,6.39878022811675,6.3731966783421,6.42658188170028,"2313","FLI1"
"38671_at",11.6697175253869,10.9229107938361,11.3879329402391,11.3896459006448,11.5252344684726,10.9636510415629,11.4829914410322,10.5211284703342,10.718534353045,10.7097450505033,10.6605561050455,10.7516848678605,"23129","PLXND1"
"39550_at",10.7942943402125,10.7815896146374,11.4966360556651,9.91031816498961,11.574495916931,11.3530214631068,10.8753648747069,11.6098416674571,10.7869125627552,10.4774001525886,10.3846954956658,10.6349509491096,"23127","COLGALT2"
"38688_at",10.3637048320513,11.2145710886435,10.7300055045316,10.7511029301559,10.8808983847183,10.264628725474,10.6854880111499,10.780458373668,10.6155809061449,10.270860038787,10.3641469041154,10.1396108641134,"23126","POGZ"
"41421_at",9.28716112355152,9.39729569455888,9.28463946835939,9.98870279798852,8.91039841062197,8.60255266848233,9.47437708772978,10.6178719057736,11.0026440591669,11.0127513609735,10.8202773828968,10.596563348971,"23125","CAMTA2"
"38711_at",10.7694933051203,11.7317282617452,11.5098717832185,10.1475748444062,11.3812120353095,9.34021746451349,11.543992458988,12.1253119680355,12.3128738980363,12.649155126984,12.6393286935179,12.7373537850197,"23122","CLASP2"
"37415_at",8.92974630033805,8.9044525685069,9.62517410286019,8.88673944625517,9.1504194744032,8.54853994216181,8.6647385399339,9.00475094720763,8.94781334017805,8.82941004632915,8.80514022067148,8.78444697318101,"23120","ATP10B"
"38973_at",9.6149199905686,9.8108182277865,9.58199207119884,9.75971406041297,9.84411818111613,10.3770191847826,10.0503392459822,9.4898738934209,9.35296567898969,9.84678896759499,9.83849465641704,9.96389392210338,"23119","HIC2"
"38980_at",9.99213566609399,9.78849214323464,9.8156778495596,9.56728664616783,10.2952976972712,8.92972919680926,10.2654343565488,9.43262009176093,8.76864298354574,9.0321451958077,9.19009033127438,9.50366403306666,"23118","TAB2"
"41457_at",9.3214462967385,9.50581330821461,9.75604524500082,9.08439976031588,10.0627586198884,9.14633094196734,9.48114636842575,10.1550311696368,10.4450046443626,10.2008131008755,10.084939188664,9.98395230085648,"23116","TOGARAM1"
